

"NE Report"
"Save Time: 10/12/2017 17:11:56"
"User Name:u2000tn-AndAlNesterenko"
""

"Total 523 Records"

"NE Name","NE Type","NE IP Address","NE MAC Address","NE ID","Software Version","Physical Location","Create Time","Fiber/Cable Count","Running Status","Subnet","Subnet Path","Alias","Remarks","Patch Version List","Customized Column","LSR ID","Maintenance Status","Gateway Type","Gateway","Optical NE","Subrack Type","Conference Call","Orderwire Phone","NE Subtype"
agg1-Kosmonavtov13a.CHRKS,CX600,10.173.4.1,2C:9D:1E:C3:A5:08,--,VRP5.160 V600R008C10,25009100010,09/26/2016 23:12:23,2,Normal,Cherkessk,Physical Root / South / Stavropol / Cherkessk,-,The NE is created through auto discovery.,SPC300 SPH050,-,10.173.4.1,Normal,Non-gateway,--,--,ST_EXTENDED,--,--,CX600-X8
agg2-Kosmonavtov13a.CHRKS,CX600,10.173.4.2,2C:9D:1E:C3:A4:F0,--,VRP5.160 V600R008C10,25009100010,09/26/2016 23:12:26,2,Normal,Cherkessk,Physical Root / South / Stavropol / Cherkessk,-,The NE is created through auto discovery.,SPC300 SPH050,-,10.173.4.2,Normal,Non-gateway,--,--,ST_EXTENDED,--,--,CX600-X8
acc8-7-Kislovodskaya1.ESSTK,S3300,10.173.196.191,70:54:F5:97:9A:90,--,VRP5.70 V100R006C03,25026102351,09/27/2016 00:22:56,0,Normal,MEN Essentuki,Physical Root / South / Stavropol / MEN Essentuki,-,The NE is created through auto discovery.,SPH017,-,--,Normal,--,--,--,Enhanced Subrack,--,--,S3328TP-EI
acc16-11-50LetVLKSM16i.STV,S3300,10.173.228.36,4C:1F:CC:82:D7:5F,--,VRP5.70 V100R006C01,25026103329,09/27/2016 00:32:48,1,Normal,MEN Stavropol,Physical Root / South / Stavropol / MEN Stavropol,-,The NE is created through auto discovery.,SPC100 SPH017,-,--,Normal,--,--,--,Enhanced Subrack,--,--,S3328TP-EI
acc16-12-50LetVLKSM16i.STV,S3300,10.173.228.40,10:1B:54:D3:68:EB,--,VRP5.70 V100R006C01,25026103329,09/27/2016 00:32:58,1,Normal,MEN Stavropol,Physical Root / South / Stavropol / MEN Stavropol,-,The NE is created through auto discovery.,SPC100 SPH017,-,--,Normal,--,--,--,Enhanced Subrack,--,--,S3328TP-EI
acc38-3-Grashdanskaya8.STV,S3300,10.173.228.128,4C:1F:CC:7A:0E:ED,--,VRP5.70 V100R006C00,25026103437,09/27/2016 00:29:35,0,Normal,MEN Stavropol,Physical Root / South / Stavropol / MEN Stavropol,-,The NE is created through auto discovery.,SPC800 SPH017,-,--,Normal,--,--,--,TYPE3,--,--,S3352P-EI
acc24-3-Dovatortcev30v.STV,S3300,10.173.228.55,10:1B:54:D3:68:FE,--,VRP5.70 V100R006C01,25026103346,09/27/2016 00:33:35,1,Normal,MEN Stavropol,Physical Root / South / Stavropol / MEN Stavropol,-,The NE is created through auto discovery.,SPC100 SPH017,-,--,Normal,--,--,--,Enhanced Subrack,--,--,S3328TP-EI
acc29-1-Cherkesskoe4.PYATK,S3300,10.173.196.209,48:46:FB:F4:EE:90,--,VRP5.70 V100R006C03,25026103974,09/27/2016 00:23:25,2,Normal,MEN Pyatigorsk,Physical Root / South / Stavropol / MEN Pyatigorsk,-,The NE is created through auto discovery.,SPH018,-,--,Normal,--,--,--,Enhanced Subrack,--,--,S3328TP-EI
agg2-RinokVostoch.NVM,CX600,10.173.252.2,28:6E:D4:EE:83:5A,--,VRP5.120 V600R006C00,25026061242,09/26/2016 23:12:20,7,Normal,MEN Nevinnomyssk,Physical Root / South / Stavropol / MEN Nevinnomyssk,-,The NE is created through auto discovery.,SPC300 SPH053,-,10.173.252.2,Normal,Non-gateway,--,--,Enhanced Subrack,--,--,CX600-X3
acc43-1-Parallelniy8.STV,S3300,10.173.228.126,70:54:F5:97:99:D0,--,VRP5.70 V100R006C03,25026103498,09/27/2016 00:29:30,3,Normal,MEN Stavropol,Physical Root / South / Stavropol / MEN Stavropol,-,The NE is created through auto discovery.,SPH017,-,--,Normal,--,--,--,Enhanced Subrack,--,--,S3328TP-EI
acc43-2-Parallelniy8.STV,S3300,10.173.228.127,70:54:F5:96:8D:80,--,VRP5.70 V100R006C03,25026103498,09/27/2016 00:29:33,1,Normal,MEN Stavropol,Physical Root / South / Stavropol / MEN Stavropol,-,The NE is created through auto discovery.,SPH017,-,--,Normal,--,--,--,Enhanced Subrack,--,--,S3328TP-EI
